"Metabolite","Diabetes","Mean","SD","N","SE"
"Cysteinylglycine","Non-diabetic",-0.19725312012069,0.99631532312056,58,0.130822611082443
"Cysteinylglycine","Diabetic",0.0903167740102041,1.04405186324511,98,0.105465164630153
"Cystine","Non-diabetic",-0.0977012171206897,1.01191916603675,58,0.13287149603467
"Cystine","Diabetic",-0.0550188873469388,0.90821776257401,98,0.0917438483871652
"Cytidine","Non-diabetic",0.188890218603448,0.997304294869013,58,0.130952469434931
"Cytidine","Diabetic",-0.211371494826531,0.977215773070756,98,0.098713699974398
"Deoxycholate","Non-diabetic",-0.0747937414482759,0.971111857895796,58,0.127513233968075
"Deoxycholate","Diabetic",0.000571277459183675,0.977673777018367,98,0.0987599653597074
"Deoxyuridine_2","Non-diabetic",0.293831979534483,1.09693103925047,58,0.144034101857087
"Deoxyuridine_2","Diabetic",-0.200647747183673,1.04247650624178,98,0.105306029541603
"Dihomo_linolenoyl_choline","Non-diabetic",0.389590491051724,0.829341517879738,58,0.108897876335256
"Dihomo_linolenoyl_choline","Diabetic",-0.31250725605102,0.960065364884727,98,0.0969812471274754
"Dihydroorotate","Non-diabetic",0.326282222189655,0.880761782744151,58,0.115649687891304
"Dihydroorotate","Diabetic",-0.094664896877551,0.989264764305919,98,0.0999308318899467
"Distearoyl_GPC","Non-diabetic",0.188474913068966,0.848597435472967,58,0.111426302185864
"Distearoyl_GPC","Diabetic",-0.127377044979592,0.977506122350491,98,0.0987430296807713
"Docosahexaenoate","Non-diabetic",0.0655723627413793,1.06620732733134,58,0.139999880840777
"Docosahexaenoate","Diabetic",0.0837363675204082,1.07838503936849,98,0.108933339152512
"Docosahexaenoylcholine","Non-diabetic",0.468081432362069,1.02412978067242,58,0.134474828285505
"Docosahexaenoylcholine","Diabetic",-0.155409911295918,1.00622236268272,98,0.101643808004929
"Eicosapentaenoate","Non-diabetic",0.191585273310345,0.82549291389195,58,0.10839252987413
"Eicosapentaenoate","Diabetic",0.104433030602041,0.99401151508913,98,0.100410326128148
"Enyl_oleoyl_GPE","Non-diabetic",0.361043520310345,0.966061811721171,58,0.126850130419108
"Enyl_oleoyl_GPE","Diabetic",-0.304785652336735,0.906794635824593,98,0.0916000908764508
"Enyl_palmitoyl_GPC","Non-diabetic",0.605187931189655,0.8472937912368,58,0.111255125311495
"Enyl_palmitoyl_GPC","Diabetic",-0.363901735306122,0.881111196892557,98,0.0890056717574461
"Enyl_palmitoyl_GPE","Non-diabetic",0.506467448051724,1.08827427090651,58,0.142897412485749
"Enyl_palmitoyl_GPE","Diabetic",-0.257961908918367,0.934239642652758,98,0.0943724552247231
"Enyl_palmitoyl_linoleoyl_GPC","Non-diabetic",0.458188561672414,0.965473401609554,58,0.126772868386293
"Enyl_palmitoyl_linoleoyl_GPC","Diabetic",-0.0346275593469388,0.889088495224191,98,0.0898115005782813
"Enyl_palmitoyl_oleoyl_GPC","Non-diabetic",0.407962164913793,0.93954384158241,58,0.123368150353506
"Enyl_palmitoyl_oleoyl_GPC","Diabetic",-0.190603492591837,1.01285338604124,98,0.102313642516788
"Enyl_palmitoyl_palmitoleoyl_GPC","Non-diabetic",0.497889936482759,0.927204621464005,58,0.121747931375488
"Enyl_palmitoyl_palmitoleoyl_GPC","Diabetic",-0.181196928693878,0.882189302225963,98,0.0891145768420296
"Enyl_palmitoyl_palmitoyl_GPC","Non-diabetic",0.35366452312069,0.995316089975456,58,0.130691405342564
"Enyl_palmitoyl_palmitoyl_GPC","Diabetic",-0.19904153572449,0.938757563833646,98,0.0948288341824191
"Erythronate","Non-diabetic",-0.357667567896552,1.11121558692427,58,0.145909754857149
"Erythronate","Diabetic",0.151781197897959,1.00650356805022,98,0.101672214036681
"Fibrinogen_cleavage_peptide","Non-diabetic",0.451581115017241,0.900383681624228,58,0.118226169439182
"Fibrinogen_cleavage_peptide","Diabetic",-0.258834722520408,1.07846303632192,98,0.108941218034609
"Fructose","Non-diabetic",-0.313686545896552,1.04766177766245,58,0.137564730868332
"Fructose","Diabetic",0.204422043806122,0.884600771029591,98,0.0893581719768389
"Fumarate","Non-diabetic",-0.10648315037931,0.822109718853533,58,0.107948294601967
"Fumarate","Diabetic",-0.0344250308571429,0.855022652341672,98,0.0863703307912721
"GPC","Non-diabetic",0.256152243637931,1.07139567400248,58,0.140681144134604
"GPC","Diabetic",-0.141923573479592,1.0382290796663,98,0.104876974665302
"Gamma_glutamylalanine","Non-diabetic",0.342809314706897,0.981341533633356,58,0.128856456198485
"Gamma_glutamylalanine","Diabetic",-0.123972838877551,0.983087695132856,98,0.0993068536756423
"Gamma_glutamylglutamate","Non-diabetic",0.200891509706897,0.979321111885281,58,0.128591161825874
"Gamma_glutamylglutamate","Diabetic",0.000105397734693883,0.932167490855893,98,0.094163136283693
"Gluconate","Non-diabetic",-0.539552893827586,0.910230450519975,58,0.119519113538076
"Gluconate","Diabetic",0.341036698459184,0.947820078619033,98,0.0957442864194693
"Glucose","Non-diabetic",-0.443840630706897,0.885137236243097,58,0.116224213082395
"Glucose","Diabetic",0.334057045979592,0.831421769514756,98,0.0839862816071432
"Glutamate","Non-diabetic",-0.378550413344828,0.86827910779776,58,0.114010632371546
"Glutamate","Diabetic",0.254376655734694,0.969775891554952,98,0.0979621584499624
